model_type=blip image_set=original max_len=200
blip/original: 10780 total, 0 already done, 10780 remaining -> results/captioning_bias_captions/blip__original.csv
Loading blip on cuda...

[blip/original] 1/10780 (failed=0)
[blip/original] 50/10780 (failed=0)
[blip/original] 100/10780 (failed=0)
[blip/original] 150/10780 (failed=0)
[blip/original] 200/10780 (failed=0)
[blip/original] 250/10780 (failed=0)
[blip/original] 300/10780 (failed=0)
[blip/original] 350/10780 (failed=0)
[blip/original] 400/10780 (failed=0)
[blip/original] 450/10780 (failed=0)
[blip/original] 500/10780 (failed=0)
[blip/original] 550/10780 (failed=0)
[blip/original] 600/10780 (failed=0)
[blip/original] 650/10780 (failed=0)
[blip/original] 700/10780 (failed=0)
[blip/original] 750/10780 (failed=0)
[blip/original] 800/10780 (failed=0)
[blip/original] 850/10780 (failed=0)
[blip/original] 900/10780 (failed=0)
[blip/original] 950/10780 (failed=0)
[blip/original] 1000/10780 (failed=0)
[blip/original] 1050/10780 (failed=0)
[blip/original] 1100/10780 (failed=0)
[blip/original] 1150/10780 (failed=0)
[blip/original] 1200/10780 (failed=0)
[blip/original] 1250/10780 (failed=0)
[blip/original] 1300/10780 (failed=0)
[blip/original] 1350/10780 (failed=0)
[blip/original] 1400/10780 (failed=0)
[blip/original] 1450/10780 (failed=0)
[blip/original] 1500/10780 (failed=0)
[blip/original] 1550/10780 (failed=0)
[blip/original] 1600/10780 (failed=0)
[blip/original] 1650/10780 (failed=0)
[blip/original] 1700/10780 (failed=0)
[blip/original] 1750/10780 (failed=0)
[blip/original] 1800/10780 (failed=0)
[blip/original] 1850/10780 (failed=0)
[blip/original] 1900/10780 (failed=0)
[blip/original] 1950/10780 (failed=0)
[blip/original] 2000/10780 (failed=0)
[blip/original] 2050/10780 (failed=0)
[blip/original] 2100/10780 (failed=0)
[blip/original] 2150/10780 (failed=0)
[blip/original] 2200/10780 (failed=0)
[blip/original] 2250/10780 (failed=0)
[blip/original] 2300/10780 (failed=0)
[blip/original] 2350/10780 (failed=0)
[blip/original] 2400/10780 (failed=0)
[blip/original] 2450/10780 (failed=0)
[blip/original] 2500/10780 (failed=0)
[blip/original] 2550/10780 (failed=0)
[blip/original] 2600/10780 (failed=0)
[blip/original] 2650/10780 (failed=0)
[blip/original] 2700/10780 (failed=0)
[blip/original] 2750/10780 (failed=0)
[blip/original] 2800/10780 (failed=0)
[blip/original] 2850/10780 (failed=0)
[blip/original] 2900/10780 (failed=0)
[blip/original] 2950/10780 (failed=0)
[blip/original] 3000/10780 (failed=0)
[blip/original] 3050/10780 (failed=0)
[blip/original] 3100/10780 (failed=0)
[blip/original] 3150/10780 (failed=0)
[blip/original] 3200/10780 (failed=0)
[blip/original] 3250/10780 (failed=0)
[blip/original] 3300/10780 (failed=0)
[blip/original] 3350/10780 (failed=0)
[blip/original] 3400/10780 (failed=0)
[blip/original] 3450/10780 (failed=0)
[blip/original] 3500/10780 (failed=0)
[blip/original] 3550/10780 (failed=0)
[blip/original] 3600/10780 (failed=0)
[blip/original] 3650/10780 (failed=0)
[blip/original] 3700/10780 (failed=0)
[blip/original] 3750/10780 (failed=0)
[blip/original] 3800/10780 (failed=0)
[blip/original] 3850/10780 (failed=0)
[blip/original] 3900/10780 (failed=0)
[blip/original] 3950/10780 (failed=0)
[blip/original] 4000/10780 (failed=0)
[blip/original] 4050/10780 (failed=0)
[blip/original] 4100/10780 (failed=0)
[blip/original] 4150/10780 (failed=0)
[blip/original] 4200/10780 (failed=0)
[blip/original] 4250/10780 (failed=0)
[blip/original] 4300/10780 (failed=0)
[blip/original] 4350/10780 (failed=0)
[blip/original] 4400/10780 (failed=0)
[blip/original] 4450/10780 (failed=0)
[blip/original] 4500/10780 (failed=0)
[blip/original] 4550/10780 (failed=0)
[blip/original] 4600/10780 (failed=0)
[blip/original] 4650/10780 (failed=0)
[blip/original] 4700/10780 (failed=0)
[blip/original] 4750/10780 (failed=0)
[blip/original] 4800/10780 (failed=0)
[blip/original] 4850/10780 (failed=0)
[blip/original] 4900/10780 (failed=0)
[blip/original] 4950/10780 (failed=0)
[blip/original] 5000/10780 (failed=0)
[blip/original] 5050/10780 (failed=0)
[blip/original] 5100/10780 (failed=0)
[blip/original] 5150/10780 (failed=0)
[blip/original] 5200/10780 (failed=0)
[blip/original] 5250/10780 (failed=0)
[blip/original] 5300/10780 (failed=0)
[blip/original] 5350/10780 (failed=0)
[blip/original] 5400/10780 (failed=0)
[blip/original] 5450/10780 (failed=0)
[blip/original] 5500/10780 (failed=0)
[blip/original] 5550/10780 (failed=0)
[blip/original] 5600/10780 (failed=0)
[blip/original] 5650/10780 (failed=0)
[blip/original] 5700/10780 (failed=0)
[blip/original] 5750/10780 (failed=0)
[blip/original] 5800/10780 (failed=0)
[blip/original] 5850/10780 (failed=0)
[blip/original] 5900/10780 (failed=0)
[blip/original] 5950/10780 (failed=0)
[blip/original] 6000/10780 (failed=0)
[blip/original] 6050/10780 (failed=0)
[blip/original] 6100/10780 (failed=0)
[blip/original] 6150/10780 (failed=0)
[blip/original] 6200/10780 (failed=0)
[blip/original] 6250/10780 (failed=0)
[blip/original] 6300/10780 (failed=0)
[blip/original] 6350/10780 (failed=0)
[blip/original] 6400/10780 (failed=0)
[blip/original] 6450/10780 (failed=0)
[blip/original] 6500/10780 (failed=0)
[blip/original] 6550/10780 (failed=0)
[blip/original] 6600/10780 (failed=0)
[blip/original] 6650/10780 (failed=0)
[blip/original] 6700/10780 (failed=0)
[blip/original] 6750/10780 (failed=0)
[blip/original] 6800/10780 (failed=0)
[blip/original] 6850/10780 (failed=0)
[blip/original] 6900/10780 (failed=0)
[blip/original] 6950/10780 (failed=0)
[blip/original] 7000/10780 (failed=0)
[blip/original] 7050/10780 (failed=0)
[blip/original] 7100/10780 (failed=0)
[blip/original] 7150/10780 (failed=0)
[blip/original] 7200/10780 (failed=0)
[blip/original] 7250/10780 (failed=0)
[blip/original] 7300/10780 (failed=0)
[blip/original] 7350/10780 (failed=0)
[blip/original] 7400/10780 (failed=0)
[blip/original] 7450/10780 (failed=0)
[blip/original] 7500/10780 (failed=0)
[blip/original] 7550/10780 (failed=0)
[blip/original] 7600/10780 (failed=0)
[blip/original] 7650/10780 (failed=0)
[blip/original] 7700/10780 (failed=0)
[blip/original] 7750/10780 (failed=0)
[blip/original] 7800/10780 (failed=0)
[blip/original] 7850/10780 (failed=0)
[blip/original] 7900/10780 (failed=0)
[blip/original] 7950/10780 (failed=0)
[blip/original] 8000/10780 (failed=0)
[blip/original] 8050/10780 (failed=0)
[blip/original] 8100/10780 (failed=0)
[blip/original] 8150/10780 (failed=0)
[blip/original] 8200/10780 (failed=0)
[blip/original] 8250/10780 (failed=0)
[blip/original] 8300/10780 (failed=0)
[blip/original] 8350/10780 (failed=0)
[blip/original] 8400/10780 (failed=0)
[blip/original] 8450/10780 (failed=0)
[blip/original] 8500/10780 (failed=0)
[blip/original] 8550/10780 (failed=0)
[blip/original] 8600/10780 (failed=0)
[blip/original] 8650/10780 (failed=0)
[blip/original] 8700/10780 (failed=0)
[blip/original] 8750/10780 (failed=0)
[blip/original] 8800/10780 (failed=0)
[blip/original] 8850/10780 (failed=0)
[blip/original] 8900/10780 (failed=0)
[blip/original] 8950/10780 (failed=0)
[blip/original] 9000/10780 (failed=0)
[blip/original] 9050/10780 (failed=0)
[blip/original] 9100/10780 (failed=0)
[blip/original] 9150/10780 (failed=0)
[blip/original] 9200/10780 (failed=0)
[blip/original] 9250/10780 (failed=0)
[blip/original] 9300/10780 (failed=0)
[blip/original] 9350/10780 (failed=0)
[blip/original] 9400/10780 (failed=0)
[blip/original] 9450/10780 (failed=0)
[blip/original] 9500/10780 (failed=0)
[blip/original] 9550/10780 (failed=0)
[blip/original] 9600/10780 (failed=0)
[blip/original] 9650/10780 (failed=0)
[blip/original] 9700/10780 (failed=0)
[blip/original] 9750/10780 (failed=0)
[blip/original] 9800/10780 (failed=0)
[blip/original] 9850/10780 (failed=0)
[blip/original] 9900/10780 (failed=0)
[blip/original] 9950/10780 (failed=0)
[blip/original] 10000/10780 (failed=0)
[blip/original] 10050/10780 (failed=0)
[blip/original] 10100/10780 (failed=0)
[blip/original] 10150/10780 (failed=0)
[blip/original] 10200/10780 (failed=0)
[blip/original] 10250/10780 (failed=0)
[blip/original] 10300/10780 (failed=0)
[blip/original] 10350/10780 (failed=0)
[blip/original] 10400/10780 (failed=0)
[blip/original] 10450/10780 (failed=0)
[blip/original] 10500/10780 (failed=0)
[blip/original] 10550/10780 (failed=0)
[blip/original] 10600/10780 (failed=0)
[blip/original] 10650/10780 (failed=0)
[blip/original] 10700/10780 (failed=0)
[blip/original] 10750/10780 (failed=0)
Done. 10780/10780 succeeded, 0 failed.
