model_type=blip image_set=masked max_len=200
blip/masked: 6352 total, 0 already done, 6352 remaining -> results/captioning_bias_captions/blip__masked.csv
Loading blip on cuda...

[blip/masked] 1/6352 (failed=0)
[blip/masked] 50/6352 (failed=49)
[blip/masked] 100/6352 (failed=99)
[blip/masked] 150/6352 (failed=149)
[blip/masked] 200/6352 (failed=199)
[blip/masked] 250/6352 (failed=249)
[blip/masked] 300/6352 (failed=299)
[blip/masked] 350/6352 (failed=349)
[blip/masked] 400/6352 (failed=399)
[blip/masked] 450/6352 (failed=449)
[blip/masked] 500/6352 (failed=499)
[blip/masked] 550/6352 (failed=549)
[blip/masked] 600/6352 (failed=599)
[blip/masked] 650/6352 (failed=649)
[blip/masked] 700/6352 (failed=699)
[blip/masked] 750/6352 (failed=749)
[blip/masked] 800/6352 (failed=799)
[blip/masked] 850/6352 (failed=849)
[blip/masked] 900/6352 (failed=899)
[blip/masked] 950/6352 (failed=949)
[blip/masked] 1000/6352 (failed=999)
[blip/masked] 1050/6352 (failed=1049)
[blip/masked] 1100/6352 (failed=1099)
[blip/masked] 1150/6352 (failed=1149)
[blip/masked] 1200/6352 (failed=1199)
[blip/masked] 1250/6352 (failed=1249)
[blip/masked] 1300/6352 (failed=1299)
[blip/masked] 1350/6352 (failed=1349)
[blip/masked] 1400/6352 (failed=1399)
[blip/masked] 1450/6352 (failed=1449)
[blip/masked] 1500/6352 (failed=1499)
[blip/masked] 1550/6352 (failed=1549)
[blip/masked] 1600/6352 (failed=1599)
[blip/masked] 1650/6352 (failed=1649)
[blip/masked] 1700/6352 (failed=1699)
[blip/masked] 1750/6352 (failed=1749)
[blip/masked] 1800/6352 (failed=1799)
[blip/masked] 1850/6352 (failed=1849)
[blip/masked] 1900/6352 (failed=1899)
[blip/masked] 1950/6352 (failed=1949)
[blip/masked] 2000/6352 (failed=1999)
[blip/masked] 2050/6352 (failed=2049)
[blip/masked] 2100/6352 (failed=2099)
[blip/masked] 2150/6352 (failed=2149)
[blip/masked] 2200/6352 (failed=2199)
[blip/masked] 2250/6352 (failed=2249)
[blip/masked] 2300/6352 (failed=2299)
[blip/masked] 2350/6352 (failed=2349)
[blip/masked] 2400/6352 (failed=2399)
[blip/masked] 2450/6352 (failed=2449)
[blip/masked] 2500/6352 (failed=2499)
[blip/masked] 2550/6352 (failed=2549)
[blip/masked] 2600/6352 (failed=2599)
[blip/masked] 2650/6352 (failed=2649)
[blip/masked] 2700/6352 (failed=2699)
[blip/masked] 2750/6352 (failed=2749)
[blip/masked] 2800/6352 (failed=2799)
[blip/masked] 2850/6352 (failed=2849)
[blip/masked] 2900/6352 (failed=2899)
[blip/masked] 2950/6352 (failed=2949)
[blip/masked] 3000/6352 (failed=2999)
[blip/masked] 3050/6352 (failed=3049)
[blip/masked] 3100/6352 (failed=3099)
[blip/masked] 3150/6352 (failed=3149)
[blip/masked] 3200/6352 (failed=3199)
[blip/masked] 3250/6352 (failed=3249)
[blip/masked] 3300/6352 (failed=3299)
[blip/masked] 3350/6352 (failed=3349)
[blip/masked] 3400/6352 (failed=3399)
[blip/masked] 3450/6352 (failed=3449)
[blip/masked] 3500/6352 (failed=3499)
[blip/masked] 3550/6352 (failed=3549)
[blip/masked] 3600/6352 (failed=3599)
[blip/masked] 3650/6352 (failed=3649)
[blip/masked] 3700/6352 (failed=3699)
[blip/masked] 3750/6352 (failed=3749)
[blip/masked] 3800/6352 (failed=3799)
[blip/masked] 3850/6352 (failed=3849)
[blip/masked] 3900/6352 (failed=3899)
[blip/masked] 3950/6352 (failed=3949)
[blip/masked] 4000/6352 (failed=3999)
[blip/masked] 4050/6352 (failed=4049)
[blip/masked] 4100/6352 (failed=4099)
[blip/masked] 4150/6352 (failed=4149)
[blip/masked] 4200/6352 (failed=4199)
[blip/masked] 4250/6352 (failed=4249)
[blip/masked] 4300/6352 (failed=4299)
[blip/masked] 4350/6352 (failed=4349)
[blip/masked] 4400/6352 (failed=4399)
[blip/masked] 4450/6352 (failed=4449)
[blip/masked] 4500/6352 (failed=4499)
[blip/masked] 4550/6352 (failed=4549)
[blip/masked] 4600/6352 (failed=4599)
[blip/masked] 4650/6352 (failed=4649)
[blip/masked] 4700/6352 (failed=4699)
[blip/masked] 4750/6352 (failed=4749)
[blip/masked] 4800/6352 (failed=4799)
[blip/masked] 4850/6352 (failed=4849)
[blip/masked] 4900/6352 (failed=4899)
[blip/masked] 4950/6352 (failed=4949)
[blip/masked] 5000/6352 (failed=4999)
[blip/masked] 5050/6352 (failed=5049)
[blip/masked] 5100/6352 (failed=5099)
[blip/masked] 5150/6352 (failed=5149)
[blip/masked] 5200/6352 (failed=5199)
[blip/masked] 5250/6352 (failed=5249)
[blip/masked] 5300/6352 (failed=5299)
[blip/masked] 5350/6352 (failed=5349)
[blip/masked] 5400/6352 (failed=5399)
[blip/masked] 5450/6352 (failed=5449)
[blip/masked] 5500/6352 (failed=5499)
[blip/masked] 5550/6352 (failed=5549)
[blip/masked] 5600/6352 (failed=5599)
[blip/masked] 5650/6352 (failed=5649)
[blip/masked] 5700/6352 (failed=5699)
[blip/masked] 5750/6352 (failed=5749)
[blip/masked] 5800/6352 (failed=5799)
[blip/masked] 5850/6352 (failed=5849)
[blip/masked] 5900/6352 (failed=5899)
[blip/masked] 5950/6352 (failed=5949)
[blip/masked] 6000/6352 (failed=5999)
[blip/masked] 6050/6352 (failed=6049)
[blip/masked] 6100/6352 (failed=6099)
[blip/masked] 6150/6352 (failed=6149)
[blip/masked] 6200/6352 (failed=6199)
[blip/masked] 6250/6352 (failed=6249)
[blip/masked] 6300/6352 (failed=6299)
[blip/masked] 6350/6352 (failed=6349)
Done. 0/6352 succeeded, 6352 failed.
