model_type=llava image_set=original max_len=200
llava/original: 10780 total, 0 already done, 10780 remaining -> results/captioning_bias_captions/llava__original.csv
Loading llava on cuda...

[llava/original] 1/10780 (failed=0)
[llava/original] 50/10780 (failed=0)
[llava/original] 100/10780 (failed=0)
[llava/original] 150/10780 (failed=0)
[llava/original] 200/10780 (failed=0)
[llava/original] 250/10780 (failed=0)
[llava/original] 300/10780 (failed=0)
[llava/original] 350/10780 (failed=0)
[llava/original] 400/10780 (failed=0)
[llava/original] 450/10780 (failed=0)
[llava/original] 500/10780 (failed=0)
[llava/original] 550/10780 (failed=0)
[llava/original] 600/10780 (failed=0)
[llava/original] 650/10780 (failed=0)
[llava/original] 700/10780 (failed=0)
[llava/original] 750/10780 (failed=0)
[llava/original] 800/10780 (failed=0)
[llava/original] 850/10780 (failed=0)
[llava/original] 900/10780 (failed=0)
[llava/original] 950/10780 (failed=0)
[llava/original] 1000/10780 (failed=0)
[llava/original] 1050/10780 (failed=0)
[llava/original] 1100/10780 (failed=0)
[llava/original] 1150/10780 (failed=0)
[llava/original] 1200/10780 (failed=0)
[llava/original] 1250/10780 (failed=0)
[llava/original] 1300/10780 (failed=0)
[llava/original] 1350/10780 (failed=0)
[llava/original] 1400/10780 (failed=0)
[llava/original] 1450/10780 (failed=0)
[llava/original] 1500/10780 (failed=0)
[llava/original] 1550/10780 (failed=0)
[llava/original] 1600/10780 (failed=0)
[llava/original] 1650/10780 (failed=0)
[llava/original] 1700/10780 (failed=0)
[llava/original] 1750/10780 (failed=0)
[llava/original] 1800/10780 (failed=0)
[llava/original] 1850/10780 (failed=0)
[llava/original] 1900/10780 (failed=0)
[llava/original] 1950/10780 (failed=0)
[llava/original] 2000/10780 (failed=0)
[llava/original] 2050/10780 (failed=0)
[llava/original] 2100/10780 (failed=0)
[llava/original] 2150/10780 (failed=0)
[llava/original] 2200/10780 (failed=0)
[llava/original] 2250/10780 (failed=0)
[llava/original] 2300/10780 (failed=0)
[llava/original] 2350/10780 (failed=0)
[llava/original] 2400/10780 (failed=0)
[llava/original] 2450/10780 (failed=0)
[llava/original] 2500/10780 (failed=0)
[llava/original] 2550/10780 (failed=0)
[llava/original] 2600/10780 (failed=0)
[llava/original] 2650/10780 (failed=0)
[llava/original] 2700/10780 (failed=0)
[llava/original] 2750/10780 (failed=0)
[llava/original] 2800/10780 (failed=0)
[llava/original] 2850/10780 (failed=0)
[llava/original] 2900/10780 (failed=0)
[llava/original] 2950/10780 (failed=0)
[llava/original] 3000/10780 (failed=0)
[llava/original] 3050/10780 (failed=0)
[llava/original] 3100/10780 (failed=0)
[llava/original] 3150/10780 (failed=0)
[llava/original] 3200/10780 (failed=0)
[llava/original] 3250/10780 (failed=0)
[llava/original] 3300/10780 (failed=0)
[llava/original] 3350/10780 (failed=0)
[llava/original] 3400/10780 (failed=0)
[llava/original] 3450/10780 (failed=0)
[llava/original] 3500/10780 (failed=0)
[llava/original] 3550/10780 (failed=0)
[llava/original] 3600/10780 (failed=0)
[llava/original] 3650/10780 (failed=0)
[llava/original] 3700/10780 (failed=0)
[llava/original] 3750/10780 (failed=0)
[llava/original] 3800/10780 (failed=0)
[llava/original] 3850/10780 (failed=0)
[llava/original] 3900/10780 (failed=0)
[llava/original] 3950/10780 (failed=0)
[llava/original] 4000/10780 (failed=0)
[llava/original] 4050/10780 (failed=0)
[llava/original] 4100/10780 (failed=0)
[llava/original] 4150/10780 (failed=0)
[llava/original] 4200/10780 (failed=0)
[llava/original] 4250/10780 (failed=0)
[llava/original] 4300/10780 (failed=0)
[llava/original] 4350/10780 (failed=0)
[llava/original] 4400/10780 (failed=0)
[llava/original] 4450/10780 (failed=0)
[llava/original] 4500/10780 (failed=0)
[llava/original] 4550/10780 (failed=0)
[llava/original] 4600/10780 (failed=0)
[llava/original] 4650/10780 (failed=0)
[llava/original] 4700/10780 (failed=0)
[llava/original] 4750/10780 (failed=0)
[llava/original] 4800/10780 (failed=0)
[llava/original] 4850/10780 (failed=0)
[llava/original] 4900/10780 (failed=0)
[llava/original] 4950/10780 (failed=0)
[llava/original] 5000/10780 (failed=0)
[llava/original] 5050/10780 (failed=0)
[llava/original] 5100/10780 (failed=0)
[llava/original] 5150/10780 (failed=0)
[llava/original] 5200/10780 (failed=0)
[llava/original] 5250/10780 (failed=0)
[llava/original] 5300/10780 (failed=0)
[llava/original] 5350/10780 (failed=0)
[llava/original] 5400/10780 (failed=0)
[llava/original] 5450/10780 (failed=0)
[llava/original] 5500/10780 (failed=0)
[llava/original] 5550/10780 (failed=0)
[llava/original] 5600/10780 (failed=0)
[llava/original] 5650/10780 (failed=0)
[llava/original] 5700/10780 (failed=0)
[llava/original] 5750/10780 (failed=0)
[llava/original] 5800/10780 (failed=0)
[llava/original] 5850/10780 (failed=0)
[llava/original] 5900/10780 (failed=0)
[llava/original] 5950/10780 (failed=0)
[llava/original] 6000/10780 (failed=0)
[llava/original] 6050/10780 (failed=0)
[llava/original] 6100/10780 (failed=0)
[llava/original] 6150/10780 (failed=0)
[llava/original] 6200/10780 (failed=0)
[llava/original] 6250/10780 (failed=0)
[llava/original] 6300/10780 (failed=0)
[llava/original] 6350/10780 (failed=0)
[llava/original] 6400/10780 (failed=0)
[llava/original] 6450/10780 (failed=0)
[llava/original] 6500/10780 (failed=0)
[llava/original] 6550/10780 (failed=0)
[llava/original] 6600/10780 (failed=0)
[llava/original] 6650/10780 (failed=0)
[llava/original] 6700/10780 (failed=0)
[llava/original] 6750/10780 (failed=0)
[llava/original] 6800/10780 (failed=0)
[llava/original] 6850/10780 (failed=0)
[llava/original] 6900/10780 (failed=0)
[llava/original] 6950/10780 (failed=0)
[llava/original] 7000/10780 (failed=0)
[llava/original] 7050/10780 (failed=0)
[llava/original] 7100/10780 (failed=0)
[llava/original] 7150/10780 (failed=0)
[llava/original] 7200/10780 (failed=0)
[llava/original] 7250/10780 (failed=0)
[llava/original] 7300/10780 (failed=0)
[llava/original] 7350/10780 (failed=0)
[llava/original] 7400/10780 (failed=0)
[llava/original] 7450/10780 (failed=0)
[llava/original] 7500/10780 (failed=0)
[llava/original] 7550/10780 (failed=0)
[llava/original] 7600/10780 (failed=0)
[llava/original] 7650/10780 (failed=0)
[llava/original] 7700/10780 (failed=0)
[llava/original] 7750/10780 (failed=0)
[llava/original] 7800/10780 (failed=0)
[llava/original] 7850/10780 (failed=0)
[llava/original] 7900/10780 (failed=0)
[llava/original] 7950/10780 (failed=0)
[llava/original] 8000/10780 (failed=0)
[llava/original] 8050/10780 (failed=0)
[llava/original] 8100/10780 (failed=0)
[llava/original] 8150/10780 (failed=0)
[llava/original] 8200/10780 (failed=0)
[llava/original] 8250/10780 (failed=0)
[llava/original] 8300/10780 (failed=0)
[llava/original] 8350/10780 (failed=0)
[llava/original] 8400/10780 (failed=0)
[llava/original] 8450/10780 (failed=0)
[llava/original] 8500/10780 (failed=0)
[llava/original] 8550/10780 (failed=0)
[llava/original] 8600/10780 (failed=0)
[llava/original] 8650/10780 (failed=0)
[llava/original] 8700/10780 (failed=0)
[llava/original] 8750/10780 (failed=0)
[llava/original] 8800/10780 (failed=0)
[llava/original] 8850/10780 (failed=0)
[llava/original] 8900/10780 (failed=0)
[llava/original] 8950/10780 (failed=0)
[llava/original] 9000/10780 (failed=0)
[llava/original] 9050/10780 (failed=0)
[llava/original] 9100/10780 (failed=0)
[llava/original] 9150/10780 (failed=0)
[llava/original] 9200/10780 (failed=0)
[llava/original] 9250/10780 (failed=0)
[llava/original] 9300/10780 (failed=0)
[llava/original] 9350/10780 (failed=0)
[llava/original] 9400/10780 (failed=0)
[llava/original] 9450/10780 (failed=0)
[llava/original] 9500/10780 (failed=0)
[llava/original] 9550/10780 (failed=0)
[llava/original] 9600/10780 (failed=0)
[llava/original] 9650/10780 (failed=0)
[llava/original] 9700/10780 (failed=0)
[llava/original] 9750/10780 (failed=0)
[llava/original] 9800/10780 (failed=0)
[llava/original] 9850/10780 (failed=0)
[llava/original] 9900/10780 (failed=0)
[llava/original] 9950/10780 (failed=0)
[llava/original] 10000/10780 (failed=0)
[llava/original] 10050/10780 (failed=0)
[llava/original] 10100/10780 (failed=0)
[llava/original] 10150/10780 (failed=0)
[llava/original] 10200/10780 (failed=0)
[llava/original] 10250/10780 (failed=0)
[llava/original] 10300/10780 (failed=0)
[llava/original] 10350/10780 (failed=0)
[llava/original] 10400/10780 (failed=0)
[llava/original] 10450/10780 (failed=0)
[llava/original] 10500/10780 (failed=0)
[llava/original] 10550/10780 (failed=0)
[llava/original] 10600/10780 (failed=0)
[llava/original] 10650/10780 (failed=0)
[llava/original] 10700/10780 (failed=0)
[llava/original] 10750/10780 (failed=0)
Done. 10780/10780 succeeded, 0 failed.
