model_type=llava image_set=masked max_len=200
llava/masked: 6352 total, 0 already done, 6352 remaining -> results/captioning_bias_captions/llava__masked.csv
Loading llava on cuda...

[llava/masked] 1/6352 (failed=0)
[llava/masked] 50/6352 (failed=49)
[llava/masked] 100/6352 (failed=99)
[llava/masked] 150/6352 (failed=149)
[llava/masked] 200/6352 (failed=199)
[llava/masked] 250/6352 (failed=249)
[llava/masked] 300/6352 (failed=299)
[llava/masked] 350/6352 (failed=349)
[llava/masked] 400/6352 (failed=399)
[llava/masked] 450/6352 (failed=449)
[llava/masked] 500/6352 (failed=499)
[llava/masked] 550/6352 (failed=549)
[llava/masked] 600/6352 (failed=599)
[llava/masked] 650/6352 (failed=649)
[llava/masked] 700/6352 (failed=699)
[llava/masked] 750/6352 (failed=749)
[llava/masked] 800/6352 (failed=799)
[llava/masked] 850/6352 (failed=849)
[llava/masked] 900/6352 (failed=899)
[llava/masked] 950/6352 (failed=949)
[llava/masked] 1000/6352 (failed=999)
[llava/masked] 1050/6352 (failed=1049)
[llava/masked] 1100/6352 (failed=1099)
[llava/masked] 1150/6352 (failed=1149)
[llava/masked] 1200/6352 (failed=1199)
[llava/masked] 1250/6352 (failed=1249)
[llava/masked] 1300/6352 (failed=1299)
[llava/masked] 1350/6352 (failed=1349)
[llava/masked] 1400/6352 (failed=1399)
[llava/masked] 1450/6352 (failed=1449)
[llava/masked] 1500/6352 (failed=1499)
[llava/masked] 1550/6352 (failed=1549)
[llava/masked] 1600/6352 (failed=1599)
[llava/masked] 1650/6352 (failed=1649)
[llava/masked] 1700/6352 (failed=1699)
[llava/masked] 1750/6352 (failed=1749)
[llava/masked] 1800/6352 (failed=1799)
[llava/masked] 1850/6352 (failed=1849)
[llava/masked] 1900/6352 (failed=1899)
[llava/masked] 1950/6352 (failed=1949)
[llava/masked] 2000/6352 (failed=1999)
[llava/masked] 2050/6352 (failed=2049)
[llava/masked] 2100/6352 (failed=2099)
[llava/masked] 2150/6352 (failed=2149)
[llava/masked] 2200/6352 (failed=2199)
[llava/masked] 2250/6352 (failed=2249)
[llava/masked] 2300/6352 (failed=2299)
[llava/masked] 2350/6352 (failed=2349)
[llava/masked] 2400/6352 (failed=2399)
[llava/masked] 2450/6352 (failed=2449)
[llava/masked] 2500/6352 (failed=2499)
[llava/masked] 2550/6352 (failed=2549)
[llava/masked] 2600/6352 (failed=2599)
[llava/masked] 2650/6352 (failed=2649)
[llava/masked] 2700/6352 (failed=2699)
[llava/masked] 2750/6352 (failed=2749)
[llava/masked] 2800/6352 (failed=2799)
[llava/masked] 2850/6352 (failed=2849)
[llava/masked] 2900/6352 (failed=2899)
[llava/masked] 2950/6352 (failed=2949)
[llava/masked] 3000/6352 (failed=2999)
[llava/masked] 3050/6352 (failed=3049)
[llava/masked] 3100/6352 (failed=3099)
[llava/masked] 3150/6352 (failed=3149)
[llava/masked] 3200/6352 (failed=3199)
[llava/masked] 3250/6352 (failed=3249)
[llava/masked] 3300/6352 (failed=3299)
[llava/masked] 3350/6352 (failed=3349)
[llava/masked] 3400/6352 (failed=3399)
[llava/masked] 3450/6352 (failed=3449)
[llava/masked] 3500/6352 (failed=3499)
[llava/masked] 3550/6352 (failed=3549)
[llava/masked] 3600/6352 (failed=3599)
[llava/masked] 3650/6352 (failed=3649)
[llava/masked] 3700/6352 (failed=3699)
[llava/masked] 3750/6352 (failed=3749)
[llava/masked] 3800/6352 (failed=3799)
[llava/masked] 3850/6352 (failed=3849)
[llava/masked] 3900/6352 (failed=3899)
[llava/masked] 3950/6352 (failed=3949)
[llava/masked] 4000/6352 (failed=3999)
[llava/masked] 4050/6352 (failed=4049)
[llava/masked] 4100/6352 (failed=4099)
[llava/masked] 4150/6352 (failed=4149)
[llava/masked] 4200/6352 (failed=4199)
[llava/masked] 4250/6352 (failed=4249)
[llava/masked] 4300/6352 (failed=4299)
[llava/masked] 4350/6352 (failed=4349)
[llava/masked] 4400/6352 (failed=4399)
[llava/masked] 4450/6352 (failed=4449)
[llava/masked] 4500/6352 (failed=4499)
[llava/masked] 4550/6352 (failed=4549)
[llava/masked] 4600/6352 (failed=4599)
[llava/masked] 4650/6352 (failed=4649)
[llava/masked] 4700/6352 (failed=4699)
[llava/masked] 4750/6352 (failed=4749)
[llava/masked] 4800/6352 (failed=4799)
[llava/masked] 4850/6352 (failed=4849)
[llava/masked] 4900/6352 (failed=4899)
[llava/masked] 4950/6352 (failed=4949)
[llava/masked] 5000/6352 (failed=4999)
[llava/masked] 5050/6352 (failed=5049)
[llava/masked] 5100/6352 (failed=5099)
[llava/masked] 5150/6352 (failed=5149)
[llava/masked] 5200/6352 (failed=5199)
[llava/masked] 5250/6352 (failed=5249)
[llava/masked] 5300/6352 (failed=5299)
[llava/masked] 5350/6352 (failed=5349)
[llava/masked] 5400/6352 (failed=5399)
[llava/masked] 5450/6352 (failed=5449)
[llava/masked] 5500/6352 (failed=5499)
[llava/masked] 5550/6352 (failed=5549)
[llava/masked] 5600/6352 (failed=5599)
[llava/masked] 5650/6352 (failed=5649)
[llava/masked] 5700/6352 (failed=5699)
[llava/masked] 5750/6352 (failed=5749)
[llava/masked] 5800/6352 (failed=5799)
[llava/masked] 5850/6352 (failed=5849)
[llava/masked] 5900/6352 (failed=5899)
[llava/masked] 5950/6352 (failed=5949)
[llava/masked] 6000/6352 (failed=5999)
[llava/masked] 6050/6352 (failed=6049)
[llava/masked] 6100/6352 (failed=6099)
[llava/masked] 6150/6352 (failed=6149)
[llava/masked] 6200/6352 (failed=6199)
[llava/masked] 6250/6352 (failed=6249)
[llava/masked] 6300/6352 (failed=6299)
[llava/masked] 6350/6352 (failed=6349)
Done. 0/6352 succeeded, 6352 failed.
