model_type=bakllava image_set=original max_len=200
bakllava/original: 10780 total, 0 already done, 10780 remaining -> results/captioning_bias_captions/bakllava__original.csv
Loading bakllava on cuda...

[bakllava/original] 1/10780 (failed=0)
[bakllava/original] 50/10780 (failed=0)
[bakllava/original] 100/10780 (failed=0)
[bakllava/original] 150/10780 (failed=0)
[bakllava/original] 200/10780 (failed=0)
[bakllava/original] 250/10780 (failed=0)
[bakllava/original] 300/10780 (failed=0)
[bakllava/original] 350/10780 (failed=0)
[bakllava/original] 400/10780 (failed=0)
[bakllava/original] 450/10780 (failed=0)
[bakllava/original] 500/10780 (failed=0)
[bakllava/original] 550/10780 (failed=0)
[bakllava/original] 600/10780 (failed=0)
[bakllava/original] 650/10780 (failed=0)
[bakllava/original] 700/10780 (failed=0)
[bakllava/original] 750/10780 (failed=0)
[bakllava/original] 800/10780 (failed=0)
[bakllava/original] 850/10780 (failed=0)
[bakllava/original] 900/10780 (failed=0)
[bakllava/original] 950/10780 (failed=0)
[bakllava/original] 1000/10780 (failed=0)
[bakllava/original] 1050/10780 (failed=0)
[bakllava/original] 1100/10780 (failed=0)
[bakllava/original] 1150/10780 (failed=0)
[bakllava/original] 1200/10780 (failed=0)
[bakllava/original] 1250/10780 (failed=0)
[bakllava/original] 1300/10780 (failed=0)
[bakllava/original] 1350/10780 (failed=0)
[bakllava/original] 1400/10780 (failed=0)
[bakllava/original] 1450/10780 (failed=0)
[bakllava/original] 1500/10780 (failed=0)
[bakllava/original] 1550/10780 (failed=0)
[bakllava/original] 1600/10780 (failed=0)
[bakllava/original] 1650/10780 (failed=0)
[bakllava/original] 1700/10780 (failed=0)
[bakllava/original] 1750/10780 (failed=0)
[bakllava/original] 1800/10780 (failed=0)
[bakllava/original] 1850/10780 (failed=0)
[bakllava/original] 1900/10780 (failed=0)
[bakllava/original] 1950/10780 (failed=0)
[bakllava/original] 2000/10780 (failed=0)
[bakllava/original] 2050/10780 (failed=0)
[bakllava/original] 2100/10780 (failed=0)
[bakllava/original] 2150/10780 (failed=0)
[bakllava/original] 2200/10780 (failed=0)
[bakllava/original] 2250/10780 (failed=0)
[bakllava/original] 2300/10780 (failed=0)
[bakllava/original] 2350/10780 (failed=0)
[bakllava/original] 2400/10780 (failed=0)
[bakllava/original] 2450/10780 (failed=0)
[bakllava/original] 2500/10780 (failed=0)
[bakllava/original] 2550/10780 (failed=0)
[bakllava/original] 2600/10780 (failed=0)
