model_type=florence image_set=original max_len=200
florence/original: 10780 total, 0 already done, 10780 remaining -> results/captioning_bias_captions/florence__original.csv
Loading florence on cuda...

[florence/original] 1/10780 (failed=0)
[florence/original] 50/10780 (failed=0)
[florence/original] 100/10780 (failed=0)
[florence/original] 150/10780 (failed=0)
[florence/original] 200/10780 (failed=0)
[florence/original] 250/10780 (failed=0)
[florence/original] 300/10780 (failed=0)
[florence/original] 350/10780 (failed=0)
[florence/original] 400/10780 (failed=0)
[florence/original] 450/10780 (failed=0)
[florence/original] 500/10780 (failed=0)
[florence/original] 550/10780 (failed=0)
[florence/original] 600/10780 (failed=0)
[florence/original] 650/10780 (failed=0)
[florence/original] 700/10780 (failed=0)
[florence/original] 750/10780 (failed=0)
[florence/original] 800/10780 (failed=0)
[florence/original] 850/10780 (failed=0)
[florence/original] 900/10780 (failed=0)
[florence/original] 950/10780 (failed=0)
[florence/original] 1000/10780 (failed=0)
[florence/original] 1050/10780 (failed=0)
[florence/original] 1100/10780 (failed=0)
[florence/original] 1150/10780 (failed=0)
[florence/original] 1200/10780 (failed=0)
[florence/original] 1250/10780 (failed=0)
[florence/original] 1300/10780 (failed=0)
[florence/original] 1350/10780 (failed=0)
[florence/original] 1400/10780 (failed=0)
[florence/original] 1450/10780 (failed=0)
[florence/original] 1500/10780 (failed=0)
[florence/original] 1550/10780 (failed=0)
[florence/original] 1600/10780 (failed=0)
[florence/original] 1650/10780 (failed=0)
[florence/original] 1700/10780 (failed=0)
[florence/original] 1750/10780 (failed=0)
[florence/original] 1800/10780 (failed=0)
[florence/original] 1850/10780 (failed=0)
[florence/original] 1900/10780 (failed=0)
[florence/original] 1950/10780 (failed=0)
[florence/original] 2000/10780 (failed=0)
[florence/original] 2050/10780 (failed=0)
[florence/original] 2100/10780 (failed=0)
[florence/original] 2150/10780 (failed=0)
[florence/original] 2200/10780 (failed=0)
[florence/original] 2250/10780 (failed=0)
[florence/original] 2300/10780 (failed=0)
[florence/original] 2350/10780 (failed=0)
[florence/original] 2400/10780 (failed=0)
[florence/original] 2450/10780 (failed=0)
[florence/original] 2500/10780 (failed=0)
[florence/original] 2550/10780 (failed=0)
[florence/original] 2600/10780 (failed=0)
[florence/original] 2650/10780 (failed=0)
[florence/original] 2700/10780 (failed=0)
[florence/original] 2750/10780 (failed=0)
[florence/original] 2800/10780 (failed=0)
[florence/original] 2850/10780 (failed=0)
[florence/original] 2900/10780 (failed=0)
[florence/original] 2950/10780 (failed=0)
[florence/original] 3000/10780 (failed=0)
[florence/original] 3050/10780 (failed=0)
[florence/original] 3100/10780 (failed=0)
[florence/original] 3150/10780 (failed=0)
[florence/original] 3200/10780 (failed=0)
[florence/original] 3250/10780 (failed=0)
[florence/original] 3300/10780 (failed=0)
[florence/original] 3350/10780 (failed=0)
[florence/original] 3400/10780 (failed=0)
[florence/original] 3450/10780 (failed=0)
[florence/original] 3500/10780 (failed=0)
[florence/original] 3550/10780 (failed=0)
[florence/original] 3600/10780 (failed=0)
[florence/original] 3650/10780 (failed=0)
[florence/original] 3700/10780 (failed=0)
[florence/original] 3750/10780 (failed=0)
[florence/original] 3800/10780 (failed=0)
[florence/original] 3850/10780 (failed=0)
[florence/original] 3900/10780 (failed=0)
[florence/original] 3950/10780 (failed=0)
[florence/original] 4000/10780 (failed=0)
[florence/original] 4050/10780 (failed=0)
[florence/original] 4100/10780 (failed=0)
[florence/original] 4150/10780 (failed=0)
[florence/original] 4200/10780 (failed=0)
[florence/original] 4250/10780 (failed=0)
[florence/original] 4300/10780 (failed=0)
[florence/original] 4350/10780 (failed=0)
[florence/original] 4400/10780 (failed=0)
[florence/original] 4450/10780 (failed=0)
[florence/original] 4500/10780 (failed=0)
[florence/original] 4550/10780 (failed=0)
[florence/original] 4600/10780 (failed=0)
[florence/original] 4650/10780 (failed=0)
[florence/original] 4700/10780 (failed=0)
[florence/original] 4750/10780 (failed=0)
[florence/original] 4800/10780 (failed=0)
[florence/original] 4850/10780 (failed=0)
[florence/original] 4900/10780 (failed=0)
[florence/original] 4950/10780 (failed=0)
[florence/original] 5000/10780 (failed=0)
[florence/original] 5050/10780 (failed=0)
[florence/original] 5100/10780 (failed=0)
[florence/original] 5150/10780 (failed=0)
[florence/original] 5200/10780 (failed=0)
[florence/original] 5250/10780 (failed=0)
[florence/original] 5300/10780 (failed=0)
[florence/original] 5350/10780 (failed=0)
[florence/original] 5400/10780 (failed=0)
[florence/original] 5450/10780 (failed=0)
[florence/original] 5500/10780 (failed=0)
[florence/original] 5550/10780 (failed=0)
[florence/original] 5600/10780 (failed=0)
[florence/original] 5650/10780 (failed=0)
