model_type=bakllava image_set=masked max_len=200
bakllava/masked: 6352 total, 0 already done, 6352 remaining -> results/captioning_bias_captions/bakllava__masked.csv
Loading bakllava on cuda...

[bakllava/masked] 1/6352 (failed=0)
[bakllava/masked] 50/6352 (failed=0)
[bakllava/masked] 100/6352 (failed=0)
[bakllava/masked] 150/6352 (failed=0)
[bakllava/masked] 200/6352 (failed=0)
[bakllava/masked] 250/6352 (failed=0)
[bakllava/masked] 300/6352 (failed=0)
[bakllava/masked] 350/6352 (failed=0)
[bakllava/masked] 400/6352 (failed=0)
[bakllava/masked] 450/6352 (failed=0)
[bakllava/masked] 500/6352 (failed=0)
[bakllava/masked] 550/6352 (failed=0)
[bakllava/masked] 600/6352 (failed=0)
[bakllava/masked] 650/6352 (failed=0)
[bakllava/masked] 700/6352 (failed=0)
[bakllava/masked] 750/6352 (failed=0)
[bakllava/masked] 800/6352 (failed=0)
[bakllava/masked] 850/6352 (failed=0)
[bakllava/masked] 900/6352 (failed=0)
[bakllava/masked] 950/6352 (failed=0)
[bakllava/masked] 1000/6352 (failed=0)
[bakllava/masked] 1050/6352 (failed=0)
[bakllava/masked] 1100/6352 (failed=0)
[bakllava/masked] 1150/6352 (failed=0)
[bakllava/masked] 1200/6352 (failed=0)
[bakllava/masked] 1250/6352 (failed=0)
[bakllava/masked] 1300/6352 (failed=0)
[bakllava/masked] 1350/6352 (failed=0)
[bakllava/masked] 1400/6352 (failed=0)
[bakllava/masked] 1450/6352 (failed=0)
[bakllava/masked] 1500/6352 (failed=0)
[bakllava/masked] 1550/6352 (failed=0)
[bakllava/masked] 1600/6352 (failed=0)
[bakllava/masked] 1650/6352 (failed=0)
[bakllava/masked] 1700/6352 (failed=0)
[bakllava/masked] 1750/6352 (failed=0)
[bakllava/masked] 1800/6352 (failed=0)
[bakllava/masked] 1850/6352 (failed=0)
[bakllava/masked] 1900/6352 (failed=0)
[bakllava/masked] 1950/6352 (failed=0)
[bakllava/masked] 2000/6352 (failed=0)
[bakllava/masked] 2050/6352 (failed=0)
[bakllava/masked] 2100/6352 (failed=0)
[bakllava/masked] 2150/6352 (failed=0)
[bakllava/masked] 2200/6352 (failed=0)
[bakllava/masked] 2250/6352 (failed=0)
[bakllava/masked] 2300/6352 (failed=0)
[bakllava/masked] 2350/6352 (failed=0)
