model_type=florence image_set=masked max_len=200
florence/masked: 6352 total, 0 already done, 6352 remaining -> results/captioning_bias_captions/florence__masked.csv
Loading florence on cuda...

[florence/masked] 1/6352 (failed=0)
[florence/masked] 50/6352 (failed=0)
[florence/masked] 100/6352 (failed=0)
[florence/masked] 150/6352 (failed=0)
[florence/masked] 200/6352 (failed=0)
[florence/masked] 250/6352 (failed=0)
[florence/masked] 300/6352 (failed=0)
[florence/masked] 350/6352 (failed=0)
[florence/masked] 400/6352 (failed=0)
[florence/masked] 450/6352 (failed=0)
[florence/masked] 500/6352 (failed=0)
[florence/masked] 550/6352 (failed=0)
[florence/masked] 600/6352 (failed=0)
[florence/masked] 650/6352 (failed=0)
[florence/masked] 700/6352 (failed=0)
[florence/masked] 750/6352 (failed=0)
[florence/masked] 800/6352 (failed=0)
[florence/masked] 850/6352 (failed=0)
[florence/masked] 900/6352 (failed=0)
[florence/masked] 950/6352 (failed=0)
[florence/masked] 1000/6352 (failed=0)
[florence/masked] 1050/6352 (failed=0)
[florence/masked] 1100/6352 (failed=0)
[florence/masked] 1150/6352 (failed=0)
[florence/masked] 1200/6352 (failed=0)
[florence/masked] 1250/6352 (failed=0)
[florence/masked] 1300/6352 (failed=0)
[florence/masked] 1350/6352 (failed=0)
[florence/masked] 1400/6352 (failed=0)
[florence/masked] 1450/6352 (failed=0)
[florence/masked] 1500/6352 (failed=0)
[florence/masked] 1550/6352 (failed=0)
[florence/masked] 1600/6352 (failed=0)
[florence/masked] 1650/6352 (failed=0)
[florence/masked] 1700/6352 (failed=0)
[florence/masked] 1750/6352 (failed=0)
[florence/masked] 1800/6352 (failed=0)
[florence/masked] 1850/6352 (failed=0)
[florence/masked] 1900/6352 (failed=0)
[florence/masked] 1950/6352 (failed=0)
[florence/masked] 2000/6352 (failed=0)
[florence/masked] 2050/6352 (failed=0)
[florence/masked] 2100/6352 (failed=0)
[florence/masked] 2150/6352 (failed=0)
[florence/masked] 2200/6352 (failed=0)
[florence/masked] 2250/6352 (failed=0)
[florence/masked] 2300/6352 (failed=0)
[florence/masked] 2350/6352 (failed=0)
[florence/masked] 2400/6352 (failed=0)
[florence/masked] 2450/6352 (failed=0)
[florence/masked] 2500/6352 (failed=0)
[florence/masked] 2550/6352 (failed=0)
[florence/masked] 2600/6352 (failed=0)
[florence/masked] 2650/6352 (failed=0)
[florence/masked] 2700/6352 (failed=0)
[florence/masked] 2750/6352 (failed=0)
[florence/masked] 2800/6352 (failed=0)
[florence/masked] 2850/6352 (failed=0)
[florence/masked] 2900/6352 (failed=0)
[florence/masked] 2950/6352 (failed=0)
[florence/masked] 3000/6352 (failed=0)
[florence/masked] 3050/6352 (failed=0)
[florence/masked] 3100/6352 (failed=0)
[florence/masked] 3150/6352 (failed=0)
[florence/masked] 3200/6352 (failed=0)
[florence/masked] 3250/6352 (failed=0)
[florence/masked] 3300/6352 (failed=0)
[florence/masked] 3350/6352 (failed=0)
[florence/masked] 3400/6352 (failed=0)
[florence/masked] 3450/6352 (failed=0)
[florence/masked] 3500/6352 (failed=0)
[florence/masked] 3550/6352 (failed=0)
[florence/masked] 3600/6352 (failed=0)
[florence/masked] 3650/6352 (failed=0)
[florence/masked] 3700/6352 (failed=0)
[florence/masked] 3750/6352 (failed=0)
[florence/masked] 3800/6352 (failed=0)
[florence/masked] 3850/6352 (failed=0)
[florence/masked] 3900/6352 (failed=0)
[florence/masked] 3950/6352 (failed=0)
[florence/masked] 4000/6352 (failed=0)
[florence/masked] 4050/6352 (failed=0)
[florence/masked] 4100/6352 (failed=0)
[florence/masked] 4150/6352 (failed=0)
[florence/masked] 4200/6352 (failed=0)
[florence/masked] 4250/6352 (failed=0)
[florence/masked] 4300/6352 (failed=0)
[florence/masked] 4350/6352 (failed=0)
[florence/masked] 4400/6352 (failed=0)
[florence/masked] 4450/6352 (failed=0)
[florence/masked] 4500/6352 (failed=0)
[florence/masked] 4550/6352 (failed=0)
[florence/masked] 4600/6352 (failed=0)
[florence/masked] 4650/6352 (failed=0)
[florence/masked] 4700/6352 (failed=0)
[florence/masked] 4750/6352 (failed=0)
[florence/masked] 4800/6352 (failed=0)
[florence/masked] 4850/6352 (failed=0)
[florence/masked] 4900/6352 (failed=0)
[florence/masked] 4950/6352 (failed=0)
[florence/masked] 5000/6352 (failed=0)
[florence/masked] 5050/6352 (failed=0)
[florence/masked] 5100/6352 (failed=0)
[florence/masked] 5150/6352 (failed=0)
[florence/masked] 5200/6352 (failed=0)
[florence/masked] 5250/6352 (failed=0)
[florence/masked] 5300/6352 (failed=0)
[florence/masked] 5350/6352 (failed=0)
[florence/masked] 5400/6352 (failed=0)
[florence/masked] 5450/6352 (failed=0)
[florence/masked] 5500/6352 (failed=0)
[florence/masked] 5550/6352 (failed=0)
[florence/masked] 5600/6352 (failed=0)
[florence/masked] 5650/6352 (failed=0)
[florence/masked] 5700/6352 (failed=0)
[florence/masked] 5750/6352 (failed=0)
[florence/masked] 5800/6352 (failed=0)
[florence/masked] 5850/6352 (failed=0)
[florence/masked] 5900/6352 (failed=0)
[florence/masked] 5950/6352 (failed=0)
[florence/masked] 6000/6352 (failed=0)
[florence/masked] 6050/6352 (failed=0)
[florence/masked] 6100/6352 (failed=0)
[florence/masked] 6150/6352 (failed=0)
[florence/masked] 6200/6352 (failed=0)
[florence/masked] 6250/6352 (failed=0)
[florence/masked] 6300/6352 (failed=0)
[florence/masked] 6350/6352 (failed=0)
Done. 6352/6352 succeeded, 0 failed.
